com.samsung.shealth.social.public_challenge.leaderboard,6212007,1
update_time,create_time,body,pcid,type,deviceuuid,pkg_name,last_sync_time,datauuid
2022-04-05 09:42:55.896,2022-04-05 09:42:55.896,68e3dd6f-028e-4fd0-b52c-e1ba5b83a23f.body.json,22040001,0,3JD7PDJoKB,com.sec.android.app.shealth,1649151775853,68e3dd6f-028e-4fd0-b52c-e1ba5b83a23f,
2022-04-24 19:47:19.639,2022-04-05 09:43:08.015,b10e59d7-c7a4-4a79-bdcc-636d1912fe95.body.json,22040001,1,3JD7PDJoKB,com.sec.android.app.shealth,1650829639629,b10e59d7-c7a4-4a79-bdcc-636d1912fe95,
