com.samsung.shealth.tracker.pedometer_step_count,6212007,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
46854,4,0,80,2022-05-21 08:27:00.000,,,2022-05-21 08:28:23.289,2022-05-21 08:28:23.289,80,1.2777778,59.87,3.22,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-21 08:28:00.000,d6be7986-a178-4cad-a321-da0f392049c2,
19736,4,0,36,2022-05-21 08:10:00.000,,,2022-05-21 08:11:04.112,2022-05-21 08:11:04.112,36,1.4166666,27.96,1.47,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-21 08:11:00.000,3e8ef45f-8b70-4626-943f-e968ae03ace2,
59540,4,0,100,2022-05-21 08:29:00.000,,,2022-05-21 08:34:15.740,2022-05-21 08:34:15.740,100,1.2777778,76.08,4.03,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-05-21 08:30:00.000,e44afcd8-1546-481f-b58f-35da2d52e310,
8623,4,0,14,2022-05-21 07:37:00.000,,,2022-05-21 07:38:03.797,2022-05-21 07:38:03.797,14,1.1944444,10.3,0.61,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-21 07:38:00.000,83e6b8cc-7931-475e-b1c3-f9df43e687e6,
57463,4,0,101,2022-05-21 08:35:00.000,,,2022-05-21 08:55:01.193,2022-05-21 08:35:00.425,101,1.3483253,77.48,4.0599995,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-05-21 08:36:00.000,2bb55f21-334a-494c-ba70-b13a39db8c9e,
60000,4,0,104,2022-05-21 08:24:00.000,,,2022-05-21 08:26:02.504,2022-05-21 08:26:02.504,104,1.3143332,78.86,4.18,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-05-21 08:25:00.000,93319726-f8f0-42c5-be9a-18c2b5859957,
59731,4,0,108,2022-05-21 08:36:00.000,,,2022-05-21 08:41:03.216,2022-05-21 08:41:03.216,108,1.3888888,82.96,4.44,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-21 08:37:00.000,6fa788fd-8da3-45b8-a629-5438c60f853d,
60000,4,0,104,2022-05-21 08:37:00.000,,,2022-05-21 08:55:01.261,2022-05-21 08:55:01.261,104,1.3173335,79.04,4.16,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-05-21 08:38:00.000,7d1aa24c-b1b8-4946-ac43-eb64d66918f6,
57125,4,0,99,2022-05-21 08:24:00.000,,,2022-05-21 08:25:39.156,2022-05-21 08:24:27.449,99,1.3078249,74.71019,3.9800231,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-21 08:25:00.000,f200f5b5-b5b3-4256-8b2e-2328f216f50c,
43636,4,0,81,2022-05-21 08:48:00.000,,,2022-05-21 08:55:03.690,2022-05-21 08:55:03.690,81,1.4444444,63.03,3.26,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-05-21 08:49:00.000,b50704e2-f653-4a78-b692-67f62cee3e07,
46528,4,0,88,2022-05-21 08:48:00.000,,,2022-05-21 08:49:44.506,2022-05-21 08:49:44.506,88,1.4722222,68.5,3.64,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-21 08:49:00.000,18d8cf1a-48f6-4b5a-9c06-5a4293b54e05,
48880,4,0,81,2022-05-21 08:27:00.000,,,2022-05-21 08:34:15.611,2022-05-21 08:34:15.611,81,1.25,61.1,3.27,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-05-21 08:28:00.000,df801dad-f218-4191-835a-104e29f94d79,
33729,4,0,60,2022-05-21 07:43:00.000,,,2022-05-21 07:45:16.151,2022-05-21 07:45:16.151,60,1.3611109,45.91,2.42,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-21 07:44:00.000,74e75523-e75d-473e-b505-4f51f6b83deb,
60000,4,0,107,2022-05-21 09:00:00.000,,,2022-05-21 09:04:07.260,2022-05-21 09:04:07.260,107,1.3626667,81.76,4.34,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-21 09:01:00.000,a507343e-89f7-4af1-8397-9dadea217e3d,
60000,4,0,108,2022-05-21 08:33:00.000,,,2022-05-21 08:34:16.048,2022-05-21 08:34:16.048,108,1.3846668,83.08,4.32,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-05-21 08:34:00.000,df1ad9c6-6846-4302-bbec-6a404fa5a121,
5812,4,0,9,2022-05-21 09:09:00.000,,,2022-05-21 09:14:36.835,2022-05-21 09:14:36.835,9,1.1388888,6.62,0.38,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-05-21 09:10:00.000,50586170-5126-4daa-92ef-8a3335214a0f,
4631,4,0,7,2022-05-21 09:36:00.000,,,2022-05-21 09:36:18.703,2022-05-21 09:36:18.292,7,1.0947466,5.0699997,0.31,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-05-21 09:37:00.000,128789df-7006-4f51-8bfb-6d308ab28ffc,
7109,4,0,12,2022-05-21 09:10:00.000,,,2022-05-21 09:11:32.100,2022-05-21 09:11:32.100,12,1.2222222,8.69,0.51,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-21 09:11:00.000,e802193d-5b99-44e7-ab52-12632d5ed237,
8167,4,0,14,2022-05-21 08:34:00.000,,,2022-05-21 08:34:59.353,2022-05-21 08:34:32.511,14,1.2929602,10.56,0.58,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-21 08:35:00.000,3ca701f0-d8e2-456a-a46c-a68a175d3ce5,
13380,4,0,21,2022-05-21 09:35:00.000,,,2022-05-21 09:40:27.957,2022-05-21 09:40:27.957,21,1.1666666,15.61,0.85,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-21 09:36:00.000,1a16e7e4-9405-4aa6-bd39-23b294a78efd,
19623,4,0,38,2022-05-21 09:52:00.000,,,2022-05-21 09:53:21.872,2022-05-21 09:53:21.872,38,1.5277779,29.98,1.51,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-21 09:53:00.000,67ef1f2c-c0e3-4837-94a9-302d48b41286,
9376,4,0,15,2022-05-21 09:54:00.000,,,2022-05-21 09:55:04.227,2022-05-21 09:55:04.227,15,1.1944444,11.2,0.62,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-05-21 09:55:00.000,cdf87f6d-9e9f-4a98-8f4a-2f39dcb7339b,
