com.samsung.health.food_info,6212007,6
potassium,vitamin_a,vitamin_c,vitamin_d,cholesterol,description,custom,provider_food_id,metric_serving_amount,sodium,dietary_fiber,total_fat,update_time,create_time,monosaturated_fat,protein,polysaturated_fat,iron,name,sugar,added_sugar,calcium,calorie,serving_description,info_provider,deviceuuid,metric_serving_unit,saturated_fat,trans_fat,pkg_name,carbohydrate,unit_count_per_calorie,datauuid,default_number_of_serving_unit
148.0,0.44444445,7.0,0.0,0.0,"52 kcal, per 100g",,fatsecret-5367,138,1.0,3.3,0.23,2022-04-11 18:49:04.590,2022-04-08 06:03:33.803,0.01,0.36,0.07,0.9444444,Mela,14.34,,0.61538464,72.0,media (7 cm di diametro) (circa 3 in 450 g),,3JD7PDJoKB,g,0.039,,com.sec.android.app.shealth,19.06,1.9272727,231fd50f-c92c-4ff5-95d3-59e0563e7e7c,1,
84.0,4.888889,0.0,0.0,15.0,"103 kcal, per 100g",,fatsecret-33692,100,405.0,0.0,4.51,2022-04-05 13:06:23.109,2022-04-05 13:06:23.109,1.285,12.49,0.139,0.7777778,Formaggio Fresco Morbido,0.29,,4.6153846,103.0,g,,3JD7PDJoKB,g,2.853,,com.sec.android.app.shealth,2.68,0.9741379,f7d375f5-5782-4f2a-92da-0db836031bc3,100,
,0.0,0.0,0.0,,"198 kcal, per 100g",,fatsecret-4616627,100,0.0,0.0,14.0,2022-04-09 10:23:36.757,2022-04-09 10:23:36.757,,17.0,,0.0,Alette di Pollo Piccanti(Del Campo),0.5,,0.0,198.0,porzione,,3JD7PDJoKB,g,3.6,,com.sec.android.app.shealth,1.0,0.5050505,2bd06491-645b-41ea-8dde-9d0080c3a397,1,
305.0,0.0,0.0,0.0,82.0,"254 kcal, per 101g",,fatsecret-1358,100,373.0,0.0,15.01,2022-04-06 10:39:15.733,2022-04-06 10:39:15.733,6.28,27.29,0.559,10.555555,Bistecca di Manzo,0.0,,1.2307693,252.0,g,,3JD7PDJoKB,g,5.877,,com.sec.android.app.shealth,0.0,0.39655173,570b9ff9-9793-4697-a146-91c838600ab7,100,
209.0,3.8888888,18.11111,0.0,0.0,"31 kcal, per 100g",,fatsecret-6229,100,6.0,3.4,0.12,2022-04-09 13:09:06.054,2022-04-09 13:09:06.054,0.005,1.82,0.059,5.7777777,Fagiolini Verdi,1.4,,2.8461537,31.0,g,,3JD7PDJoKB,g,0.026,,com.sec.android.app.shealth,7.13,3.235294,dec97db9-4bfd-4d16-93ca-7bda7b891ebd,100,
80.0,7.2222223,0.33333334,0.0,52.0,"3865 kcal, per 1375g",,fatsecret-5106139,90,158.0,0.7,7.3,2022-04-07 08:15:28.145,2022-04-07 08:15:28.145,1.972,3.47,0.421,2.5555556,Babà al Rum,30.75,,2.8461537,253.0,babà,,3JD7PDJoKB,g,4.236,,com.sec.android.app.shealth,41.63,0.354375,00bfbc0f-df09-4c48-8489-680b04fc2343,1,
211.0,17.444445,211.11111,0.0,0.0,"26 kcal, per 100g",,fatsecret-285829,100,2.0,2.0,0.3,2022-04-11 05:59:02.938,2022-04-10 07:56:05.722,0.007,0.99,0.156,2.3888888,Peperoni,4.2,,0.53846157,26.0,g,,3JD7PDJoKB,g,0.059,,com.sec.android.app.shealth,6.03,3.8947368,46fde568-b239-4978-9dcc-31d5b3b80291,100,
,0.0,0.0,0.0,,"63 kcal, per 100g",,fatsecret-38133879,100,0.0,,3.3,2022-04-13 07:11:02.454,2022-04-08 06:35:54.650,,4.2,,0.0,Yogurt Bianco Cremoso(Buongiorno Natura),4.1,,0.0,63.0,porzione,,3JD7PDJoKB,g,2.2,,com.sec.android.app.shealth,4.1,1.5873016,df129ce4-1197-4c60-8a5c-dac3170fc367,1,
362.0,7.4444447,22.444447,0.0,3.0,"514 kcal, per 739g",,fatsecret-6000121,150,381.0,2.4,4.25,2022-04-10 12:32:40.808,2022-04-10 12:32:40.808,2.53,3.77,0.816,8.222222,Pomodori Gratinati,3.96,,3.9230769,104.0,pomodoro,,3JD7PDJoKB,g,0.694,,com.sec.android.app.shealth,13.9,1.4423077,6daf01cd-cfe4-4d6d-b760-e00276dbfdea,1,
,0.0,0.0,0.0,,"241 kcal, per 1 bottiglia (330ml)",,fatsecret-14429426,330,,,0.0,2022-04-09 10:23:36.757,2022-04-09 10:23:36.757,,0.0,,0.0,La Rossa(Moretti),,,0.0,241.0,porzione,,3JD7PDJoKB,ml,,,com.sec.android.app.shealth,30.0,,2aecda6b-5f43-4ab0-a661-a9703ff1d62f,1,
