com.samsung.shealth.exercise,6212007,12
live_data_internal,mission_value,subset_data,total_calorie,completion_status,pace_info_id,pace_live_data,sensing_status,source_type,mission_type,tracking_status,program_id,title,reward_status,heart_rate_sample_count,mission_extra_value,program_schedule_id,heart_rate_deviceuuid,location_data_internal,additional_internal,com.samsung.health.exercise.duration,com.samsung.health.exercise.additional,com.samsung.health.exercise.mean_caloricburn_rate,com.samsung.health.exercise.location_data,com.samsung.health.exercise.start_time,com.samsung.health.exercise.exercise_type,com.samsung.health.exercise.custom,com.samsung.health.exercise.max_altitude,com.samsung.health.exercise.incline_distance,com.samsung.health.exercise.mean_heart_rate,com.samsung.health.exercise.count_type,com.samsung.health.exercise.mean_rpm,com.samsung.health.exercise.min_altitude,com.samsung.health.exercise.max_heart_rate,com.samsung.health.exercise.update_time,com.samsung.health.exercise.create_time,com.samsung.health.exercise.max_power,com.samsung.health.exercise.max_speed,com.samsung.health.exercise.mean_cadence,com.samsung.health.exercise.min_heart_rate,com.samsung.health.exercise.count,com.samsung.health.exercise.distance,com.samsung.health.exercise.max_caloricburn_rate,com.samsung.health.exercise.calorie,com.samsung.health.exercise.max_cadence,com.samsung.health.exercise.decline_distance,com.samsung.health.exercise.vo2_max,com.samsung.health.exercise.time_offset,com.samsung.health.exercise.deviceuuid,com.samsung.health.exercise.max_rpm,com.samsung.health.exercise.comment,com.samsung.health.exercise.live_data,com.samsung.health.exercise.mean_power,com.samsung.health.exercise.mean_speed,com.samsung.health.exercise.pkg_name,com.samsung.health.exercise.altitude_gain,com.samsung.health.exercise.altitude_loss,com.samsung.health.exercise.exercise_custom_type,com.samsung.health.exercise.end_time,com.samsung.health.exercise.datauuid,com.samsung.health.exercise.sweat_loss
d59d6181-9665-43cf-b3e3-424e82a334f8.live_data_internal.json,,,582.935,,,,d59d6181-9665-43cf-b3e3-424e82a334f8.sensing_status.json,1,,,,,1,337,,,,,,3608287,,,,2022-04-11 16:21:17.871,0,,,,140.0,,,,175.0,2022-04-11 17:21:38.029,2022-04-11 17:21:30.034,,,,75.0,,,,582.8601,,,,UTC+0200,SumqgnI0Fz,,,d59d6181-9665-43cf-b3e3-424e82a334f8.com.samsung.health.exercise.live_data.json,,,com.sec.android.app.shealth,,,,2022-04-11 17:21:29.662,d59d6181-9665-43cf-b3e3-424e82a334f8,,
7a242cc4-739c-4c2c-880e-4283ce9083df.live_data_internal.json,20000,"[{""duration"":44,""reps"":12}]",8.703737,1,,,7a242cc4-739c-4c2c-880e-4283ce9083df.sensing_status.json,1,2,,,,,1,,,,,,57770,,,,2022-04-11 16:18:32.023,10010,,,,111.0,30004,,,111.0,2022-04-11 16:20:49.279,2022-04-11 16:20:49.279,,,,111.0,12,,,7.01,,,,UTC+0200,SumqgnI0Fz,,,7a242cc4-739c-4c2c-880e-4283ce9083df.com.samsung.health.exercise.live_data.json,,,com.sec.android.app.shealth,,,,2022-04-11 16:20:49.052,7a242cc4-739c-4c2c-880e-4283ce9083df,,
2591b956-aec2-450e-a04e-2913840be8dc.live_data_internal.json,,,805.6399,,,,2591b956-aec2-450e-a04e-2913840be8dc.sensing_status.json,1,,,,,1,499,,,,,,4975649,,,,2022-04-13 16:06:25.017,0,,,,136.0,,,,189.0,2022-04-13 17:29:30.642,2022-04-13 17:29:23.488,,,,100.0,,,,805.5909,,,,UTC+0200,SumqgnI0Fz,,,2591b956-aec2-450e-a04e-2913840be8dc.com.samsung.health.exercise.live_data.json,,,com.sec.android.app.shealth,,,,2022-04-13 17:29:22.959,2591b956-aec2-450e-a04e-2913840be8dc,,
d93d5007-362e-40fd-b95f-df7ed40a40cc.live_data_internal.json,,,123.0,,,,d93d5007-362e-40fd-b95f-df7ed40a40cc.sensing_status.json,4,,,,,,104,,,,,,1170089,,,,2022-04-13 15:42:47.920,1001,,,,118.0,30001,,,133.0,2022-04-13 16:03:49.216,2022-04-13 16:03:49.216,,1.6628203,93.58262,90.0,1825,1441.22,,123.0,125.0,,,UTC+0200,SumqgnI0Fz,,,d93d5007-362e-40fd-b95f-df7ed40a40cc.com.samsung.health.exercise.live_data.json,,1.2317183,com.sec.android.app.shealth,,,,2022-04-13 16:02:18.009,d93d5007-362e-40fd-b95f-df7ed40a40cc,,
80e7b24f-8e45-495b-ad71-5137275bada8.live_data_internal.json,,,134.67891,,,,80e7b24f-8e45-495b-ad71-5137275bada8.sensing_status.json,4,,,,,,82,,,,,,1254855,,,,2022-04-08 17:11:15.891,0,,,,123.0,,,,143.0,2022-04-08 17:32:12.158,2022-04-08 17:32:12.158,,,,80.0,,,,134.67,,,,UTC+0200,SumqgnI0Fz,,,80e7b24f-8e45-495b-ad71-5137275bada8.com.samsung.health.exercise.live_data.json,,,com.sec.android.app.shealth,,,,2022-04-08 17:32:11.163,80e7b24f-8e45-495b-ad71-5137275bada8,,
,,,,1,,,,4,0,0,,,,,,,,,,642000,,,,2022-04-15 15:46:18.000,1001,,,,,30001,,,,2022-04-15 15:59:22.328,2022-04-15 15:59:22.328,,4.6666665,,,1424,1447.51,,95.79,,,,UTC+0200,3JD7PDJoKB,,,6aa72694-3cb9-4237-912b-f42a71e10d88.com.samsung.health.exercise.live_data.json,,2.2546885,com.sec.android.app.shealth,,,,2022-04-15 15:57:00.000,6aa72694-3cb9-4237-912b-f42a71e10d88,,
24c1d885-b7b8-4c3a-a780-df84fec3f39f.live_data_internal.json,,,57.0,,,,24c1d885-b7b8-4c3a-a780-df84fec3f39f.sensing_status.json,4,,,,,,92,,,,,,1056977,,,,2022-04-13 21:08:32.935,1001,,,,108.0,30001,,,121.0,2022-04-13 21:27:38.829,2022-04-13 21:27:38.829,,1.5627996,100.304924,90.0,1767,737.76,,57.0,114.0,,,UTC+0200,SumqgnI0Fz,,,24c1d885-b7b8-4c3a-a780-df84fec3f39f.com.samsung.health.exercise.live_data.json,,0.69799054,com.sec.android.app.shealth,,,,2022-04-13 21:26:09.912,24c1d885-b7b8-4c3a-a780-df84fec3f39f,,
b2a61adc-61f3-4d5d-b686-f0ac872208d7.live_data_internal.json,,,113.0,,,,b2a61adc-61f3-4d5d-b686-f0ac872208d7.sensing_status.json,4,,,,,,103,,,,,,1171071,,,,2022-04-08 17:36:35.026,1001,,,,116.0,30001,,,126.0,2022-04-08 17:57:36.763,2022-04-08 17:57:36.763,,1.5311667,98.42272,93.0,1921,1493.7,,113.0,117.0,,,UTC+0200,SumqgnI0Fz,,,b2a61adc-61f3-4d5d-b686-f0ac872208d7.com.samsung.health.exercise.live_data.json,,1.275499,com.sec.android.app.shealth,,,,2022-04-08 17:56:06.097,b2a61adc-61f3-4d5d-b686-f0ac872208d7,,
ed128445-7079-4e87-b67b-98ba8bc9106a.live_data_internal.json,,,153.0,,,,ed128445-7079-4e87-b67b-98ba8bc9106a.sensing_status.json,4,,,,,,50,,,,,,1711178,,,,2022-04-10 16:51:10.059,1001,,,,104.0,30001,,,115.0,2022-04-10 17:21:11.194,2022-04-10 17:21:11.194,,1.6388888,75.106155,88.0,2142,1592.76,,153.0,105.0,,,UTC+0200,SumqgnI0Fz,,,ed128445-7079-4e87-b67b-98ba8bc9106a.com.samsung.health.exercise.live_data.json,,0.9307974,com.sec.android.app.shealth,,,,2022-04-10 17:19:41.237,ed128445-7079-4e87-b67b-98ba8bc9106a,,
de8c585d-b060-49ed-ae73-cfb5a8ecec56.live_data_internal.json,,,102.0,,,,de8c585d-b060-49ed-ae73-cfb5a8ecec56.sensing_status.json,4,,,,,,85,,,,,,998137,,,,2022-04-13 17:52:37.189,1001,,,,119.0,30001,,,134.0,2022-04-13 18:10:47.634,2022-04-13 18:10:47.634,,1.5825227,102.61117,94.0,1707,1286.44,,102.0,116.0,,,UTC+0200,SumqgnI0Fz,,,de8c585d-b060-49ed-ae73-cfb5a8ecec56.com.samsung.health.exercise.live_data.json,,1.288841,com.sec.android.app.shealth,,,,2022-04-13 18:09:15.326,de8c585d-b060-49ed-ae73-cfb5a8ecec56,,
