com.samsung.shealth.food_favorite,6212007,1
amount,food_type,update_time,create_time,name,unit,favoriteid,calorie,deviceuuid,pkg_name,datauuid,food_info_id
0.0,2,2022-04-08 06:03:33.821,2022-04-08 06:03:33.821,9b2df092-5cbd-46bd-a6de-0a088b4234a1,,9b2df092-5cbd-46bd-a6de-0a088b4234a1,0.0,3JD7PDJoKB,com.sec.android.app.shealth,f33ac915-800a-4ba0-ae62-16fb313b8190,231fd50f-c92c-4ff5-95d3-59e0563e7e7c,
0.0,2,2022-04-06 07:21:15.794,2022-04-06 07:21:15.794,902c579e-1af6-45b0-98df-17c12a810405,,902c579e-1af6-45b0-98df-17c12a810405,0.0,3JD7PDJoKB,com.sec.android.app.shealth,4eb83480-fd36-4da4-9d1d-164883307d88,33370599-5338-404b-a99b-76b6025417ec,
0.0,2,2022-04-09 10:25:22.781,2022-04-09 10:25:22.781,e9a4f1bd-ad9a-47f0-856a-337254785e31,,e9a4f1bd-ad9a-47f0-856a-337254785e31,0.0,3JD7PDJoKB,com.sec.android.app.shealth,aa0e6d5b-f274-4848-af06-730771318e56,df129ce4-1197-4c60-8a5c-dac3170fc367,
0.0,2,2022-04-08 10:47:00.269,2022-04-08 10:47:00.269,ef0e7af8-6201-4a6b-ba45-97ac5c50a1f3,,ef0e7af8-6201-4a6b-ba45-97ac5c50a1f3,0.0,3JD7PDJoKB,com.sec.android.app.shealth,dfbbc421-042c-473f-854c-bd15f752b29b,dd8d1d67-1535-4793-aa83-8a126ff4b3df,
0.0,2,2022-04-06 10:39:15.782,2022-04-06 10:39:15.782,423f4158-ccc3-41c9-8ffd-f935d3599bf9,,423f4158-ccc3-41c9-8ffd-f935d3599bf9,0.0,3JD7PDJoKB,com.sec.android.app.shealth,20b502fc-3bc2-422b-a07b-6c51aff008e1,6d25932d-9b6d-404e-b84f-dbd10da28c1b,
0.0,2,2022-04-09 13:09:06.100,2022-04-09 13:09:06.100,9014e3d1-6827-4b4d-bd6c-6d39f94b50d7,,9014e3d1-6827-4b4d-bd6c-6d39f94b50d7,0.0,3JD7PDJoKB,com.sec.android.app.shealth,63b0e7a0-8c3f-4aba-8a96-d1103c5cec17,dec97db9-4bfd-4d16-93ca-7bda7b891ebd,
0.0,2,2022-04-08 12:43:32.771,2022-04-08 12:43:32.771,4c45a728-7bee-446e-bc33-58cd0a86060f,,4c45a728-7bee-446e-bc33-58cd0a86060f,0.0,3JD7PDJoKB,com.sec.android.app.shealth,2db0dca1-3896-4709-90c6-565ad58f98c9,ada39d25-9a44-4459-8aa9-76204e902c2c,
0.0,2,2022-04-06 10:41:37.486,2022-04-06 10:41:37.486,f4171b36-61b4-4f2e-b29b-4488cbdce0ca,,f4171b36-61b4-4f2e-b29b-4488cbdce0ca,0.0,3JD7PDJoKB,com.sec.android.app.shealth,f3353a37-d993-4768-a892-00646db99c94,a8f0997f-8c4f-4f0c-ba83-73ec3fd60c4c,
0.0,2,2022-04-10 07:56:05.764,2022-04-10 07:56:05.764,6643a3df-df28-4adb-956b-bbacdf4fb4a0,,6643a3df-df28-4adb-956b-bbacdf4fb4a0,0.0,3JD7PDJoKB,com.sec.android.app.shealth,0abc9649-0a1b-489d-aafa-69ffa38ee076,46fde568-b239-4978-9dcc-31d5b3b80291,
0.0,2,2022-04-09 10:25:22.781,2022-04-09 10:25:22.781,e9a4f1bd-ad9a-47f0-856a-337254785e31,,e9a4f1bd-ad9a-47f0-856a-337254785e31,0.0,3JD7PDJoKB,com.sec.android.app.shealth,74a087f3-c1b5-48b8-af04-f5cdf962232c,1a81415c-5dad-4cb5-bcee-d59c6cef30af,
0.0,2,2022-04-07 19:07:18.365,2022-04-07 19:07:18.365,0cc4f9c3-147e-4863-95d2-616e68681a31,,0cc4f9c3-147e-4863-95d2-616e68681a31,0.0,3JD7PDJoKB,com.sec.android.app.shealth,a8f9bca0-befb-48eb-afd4-9a87c8e48529,7b31831f-d12e-4454-b628-32e5bb79438e,
0.0,2,2022-04-10 12:32:40.837,2022-04-10 12:32:40.837,f6442ba9-6f3c-4a32-bcd9-2d384ae1aa15,,f6442ba9-6f3c-4a32-bcd9-2d384ae1aa15,0.0,3JD7PDJoKB,com.sec.android.app.shealth,297f18ff-0cc5-45ae-bbae-70aa48f4f027,fac3b80b-a34c-4490-b253-560650423e78,
0.0,2,2022-04-09 13:09:06.100,2022-04-09 13:09:06.100,9014e3d1-6827-4b4d-bd6c-6d39f94b50d7,,9014e3d1-6827-4b4d-bd6c-6d39f94b50d7,0.0,3JD7PDJoKB,com.sec.android.app.shealth,39a957d4-f2b7-497e-9465-efaa26a92906,b56636ef-2c6a-4ba3-b6d4-0200eef3565b,
0.0,2,2022-04-08 06:35:54.679,2022-04-08 06:35:54.679,e28e7857-2b2c-4179-90ef-03887439d264,,e28e7857-2b2c-4179-90ef-03887439d264,0.0,3JD7PDJoKB,com.sec.android.app.shealth,6078644d-39ef-4117-b43a-a15ac4d291c3,df129ce4-1197-4c60-8a5c-dac3170fc367,
0.0,2,2022-04-11 05:59:02.996,2022-04-11 05:59:02.996,a45a95af-91a9-4860-a709-1bd214078e8d,,a45a95af-91a9-4860-a709-1bd214078e8d,0.0,3JD7PDJoKB,com.sec.android.app.shealth,5e277f97-a917-44ba-9467-a170fba67bb9,46fde568-b239-4978-9dcc-31d5b3b80291,
0.0,2,2022-04-10 07:56:05.764,2022-04-10 07:56:05.764,6643a3df-df28-4adb-956b-bbacdf4fb4a0,,6643a3df-df28-4adb-956b-bbacdf4fb4a0,0.0,3JD7PDJoKB,com.sec.android.app.shealth,17e5db4a-c96e-40a3-ab85-af20cd29783b,460fbc53-80db-4b97-a829-3ccc6e8a8cab,
0.0,2,2022-04-08 10:47:00.269,2022-04-08 10:47:00.269,ef0e7af8-6201-4a6b-ba45-97ac5c50a1f3,,ef0e7af8-6201-4a6b-ba45-97ac5c50a1f3,0.0,3JD7PDJoKB,com.sec.android.app.shealth,bb99459d-68b2-4561-8cb9-2562272e30c6,98858539-395c-4218-b0a7-a76f0fc094d3,
0.0,2,2022-04-11 06:01:03.649,2022-04-11 06:01:03.649,c654c005-45d2-4d84-897a-d31a1b4889c2,,c654c005-45d2-4d84-897a-d31a1b4889c2,0.0,3JD7PDJoKB,com.sec.android.app.shealth,2e6904f5-ed07-45db-9bf8-f087751a6e7a,3f0fd6fa-104b-47db-a79b-742cdd4b4cb6,
0.0,2,2022-04-10 12:32:40.837,2022-04-10 12:32:40.837,f6442ba9-6f3c-4a32-bcd9-2d384ae1aa15,,f6442ba9-6f3c-4a32-bcd9-2d384ae1aa15,0.0,3JD7PDJoKB,com.sec.android.app.shealth,dfbac48a-a8b9-452f-a6c2-8c583c8d0703,85821a1a-64c2-4047-a8d9-4a5d728491cd,
0.0,2,2022-04-08 12:43:32.771,2022-04-08 12:43:32.771,4c45a728-7bee-446e-bc33-58cd0a86060f,,4c45a728-7bee-446e-bc33-58cd0a86060f,0.0,3JD7PDJoKB,com.sec.android.app.shealth,74f7f20c-5494-478c-ac7b-976906787218,231fd50f-c92c-4ff5-95d3-59e0563e7e7c,
