binning_data;update_time;create_time;source_pkg_name;source_type;count;speed;distance;calorie;deviceuuid;pkg_name;datauuid;day_time
4d86bf1a-1598-4065-b963-a4d378bf70eb.binning_data.json;2022-05-17 19:29:28.266;2022-05-16 23:05:13.597;com.sec.android.app.shealth;-2;242;12115353;182.63;10.17;VfS0qUERdZ;com.sec.android.app.shealth;4d86bf1a-1598-4065-b963-a4d378bf70eb;1,65275E+12
df8bee17-0660-49e5-b08e-0690a6fc32d1.binning_data.json;2022-05-15 22:14:18.761;2022-05-15 22:14:18.761;com.sec.android.app.shealth;0;573;12191923;433.09;24.16;3JD7PDJoKB;com.sec.android.app.shealth;df8bee17-0660-49e5-b08e-0690a6fc32d1;1,65257E+12
fad85631-3ace-449d-a838-12b1279ad250.binning_data.json;2022-05-15 19:50:22.327;2022-05-14 22:36:13.037;com.sec.android.app.shealth;-2;573;12191923;433.09;24.16;VfS0qUERdZ;com.sec.android.app.shealth;fad85631-3ace-449d-a838-12b1279ad250;1,65257E+12
32f32473-49ef-4db1-81dc-6b4266719970.binning_data.json;2022-05-13 22:00:02.397;2022-05-13 22:00:02.397;com.sec.android.app.shealth;0;3877;1335672;2960.66;15699998;3JD7PDJoKB;com.sec.android.app.shealth;32f32473-49ef-4db1-81dc-6b4266719970;1,6524E+12
ae0774a8-e39b-4003-a292-ab9c4f39645c.binning_data.json;2022-05-20 22:48:42.546;2022-05-19 22:00:03.711;com.sec.android.app.shealth;103;1356;14766601;10553035;58749943;SumqgnI0Fz;com.sec.android.app.shealth;ae0774a8-e39b-4003-a292-ab9c4f39645c;1,65292E+12
5c1ee672-1ba0-410f-85cc-9b5d30db1b68.binning_data.json;2022-05-19 22:43:02.764;2022-05-19 06:15:05.619;com.sec.android.app.shealth;-2;1624;14014348;12524225;7010002;VfS0qUERdZ;com.sec.android.app.shealth;5c1ee672-1ba0-410f-85cc-9b5d30db1b68;1,65292E+12
85e7eca0-16a0-4f80-8924-76c9747e868e.binning_data.json;2022-05-16 20:52:22.930;2022-05-15 22:14:10.994;com.sec.android.app.shealth;-2;446;12453564;336.02;18.68;VfS0qUERdZ;com.sec.android.app.shealth;85e7eca0-16a0-4f80-8924-76c9747e868e;1,65266E+12
0778715e-eef7-46c3-962c-6d0cf8b706f5.binning_data.json;2022-05-18 22:00:03.508;2022-05-18 22:00:03.508;com.sec.android.app.shealth;103;988;14502395;7652625;41760372;SumqgnI0Fz;com.sec.android.app.shealth;0778715e-eef7-46c3-962c-6d0cf8b706f5;1,65283E+12
eaf6eb4a-b385-4abc-8cb2-2e520857185b.binning_data.json;2022-05-18 21:33:08.128;2022-05-17 22:30:24.647;com.sec.android.app.shealth;-2;1179;14154273;9146825;5022037;VfS0qUERdZ;com.sec.android.app.shealth;eaf6eb4a-b385-4abc-8cb2-2e520857185b;1,65283E+12
563f6d7e-98b8-42f5-a803-27fcdc822dd1.binning_data.json;2022-05-19 22:00:02.486;2022-05-19 22:00:02.486;com.sec.android.app.shealth;0;519;11905514;387.86;21.6;3JD7PDJoKB;com.sec.android.app.shealth;563f6d7e-98b8-42f5-a803-27fcdc822dd1;1,65292E+12
a86b64f1-a0e6-4e33-9068-7115a162ec13.binning_data.json;2022-05-21 23:22:03.667;2022-05-21 06:55:38.956;com.sec.android.app.shealth;-2;8024;13103566;60927817;33243936;VfS0qUERdZ;com.sec.android.app.shealth;a86b64f1-a0e6-4e33-9068-7115a162ec13;1,65309E+12
f2cf36ec-d236-4a09-bf4e-a15d18568d3b.binning_data.json;2022-05-22 22:00:09.387;2022-05-21 22:00:04.271;com.sec.android.app.shealth;103;7248;1321552;54999106;29999936;SumqgnI0Fz;com.sec.android.app.shealth;f2cf36ec-d236-4a09-bf4e-a15d18568d3b;1,65309E+12
1e7120b3-f4cc-461a-8720-b5bf15a36817.binning_data.json;2022-05-21 07:36:14.205;2022-05-19 22:32:52.334;com.sec.android.app.shealth;-2;11934;15249655;9480521;5427102;VfS0qUERdZ;com.sec.android.app.shealth;1e7120b3-f4cc-461a-8720-b5bf15a36817;1,653E+12
968414ce-7b18-4761-9975-9652df9b83c7.binning_data.json;2022-05-21 22:00:01.582;2022-05-21 22:00:01.582;com.sec.android.app.shealth;0;5603;12918432;4266.04;228.89;3JD7PDJoKB;com.sec.android.app.shealth;968414ce-7b18-4761-9975-9652df9b83c7;1,65309E+12
fe911570-7948-4ef6-aa6e-f316f4a70480.binning_data.json;2022-05-21 22:00:05.913;2022-05-20 22:48:42.556;com.sec.android.app.shealth;103;10628;15257754;8407534;48702072;SumqgnI0Fz;com.sec.android.app.shealth;fe911570-7948-4ef6-aa6e-f316f4a70480;1,653E+12
d7e1a479-5a71-49ed-8488-a2afd7d94558.binning_data.json;2022-05-24 00:18:45.158;2022-05-23 06:29:37.146;com.sec.android.app.shealth;-2;9724;15718329;7935987;46235165;VfS0qUERdZ;com.sec.android.app.shealth;d7e1a479-5a71-49ed-8488-a2afd7d94558;1,65326E+12
56c4e86c-ffb3-4c60-9eca-2dae49f9b225.binning_data.json;2022-05-18 22:00:01.712;2022-05-18 22:00:01.712;com.sec.android.app.shealth;0;495;12991232;381.16;21070002;3JD7PDJoKB;com.sec.android.app.shealth;56c4e86c-ffb3-4c60-9eca-2dae49f9b225;1,65283E+12
8bab2e3c-0fb1-45a8-947f-e14b7bd5972e.binning_data.json;2022-05-24 22:00:06.066;2022-05-23 22:00:24.182;com.sec.android.app.shealth;103;8338;15527816;6649585;39718512;SumqgnI0Fz;com.sec.android.app.shealth;8bab2e3c-0fb1-45a8-947f-e14b7bd5972e;1,65326E+12
