com.samsung.shealth.activity.day_summary,6212007,2
step_count,active_time,target,others_time,update_time,create_time,goal,longest_active_time,score,distance,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
0,0,90,0,2022-04-05 09:11:18.707,2022-04-05 09:11:18.707,-1,0,0,0.0,0.0,1f1e44db-444b-4b68-9b07-b4401c99cc7c.extra_data.json,3JD7PDJoKB,0,com.sec.android.app.shealth,0,-1,1f1e44db-444b-4b68-9b07-b4401c99cc7c,1648339200000,
0,0,90,0,2022-04-05 09:11:18.742,2022-04-05 09:11:18.742,-1,0,0,0.0,0.0,93bfd429-b729-452d-84d9-929075102047.extra_data.json,3JD7PDJoKB,0,com.sec.android.app.shealth,0,-1,93bfd429-b729-452d-84d9-929075102047,1648598400000,
0,0,90,0,2022-04-01 13:57:47.304,2022-04-01 13:57:47.304,-1,0,0,0.0,0.0,3a136a58-3f97-4209-aee0-976ee8ef1de9.extra_data.json,3JD7PDJoKB,0,com.sec.android.app.shealth,0,-1,3a136a58-3f97-4209-aee0-976ee8ef1de9,1647388800000,
0,0,90,0,2022-04-05 09:11:18.701,2022-04-05 09:11:18.701,-1,0,0,0.0,0.0,b670e1fe-6123-4690-9a9e-beb186a3848a.extra_data.json,3JD7PDJoKB,0,com.sec.android.app.shealth,0,-1,b670e1fe-6123-4690-9a9e-beb186a3848a,1648252800000,
0,0,90,0,2022-04-05 09:11:18.717,2022-04-05 09:11:18.717,-1,0,0,0.0,0.0,dec81bbf-df69-45df-8655-4bf97bb0dc17.extra_data.json,3JD7PDJoKB,0,com.sec.android.app.shealth,0,-1,dec81bbf-df69-45df-8655-4bf97bb0dc17,1648425600000,
0,0,90,0,2022-04-01 13:57:47.412,2022-04-01 13:57:47.412,-1,0,0,0.0,0.0,75a83646-6d3d-44c2-82d0-1a4383a60d06.extra_data.json,3JD7PDJoKB,0,com.sec.android.app.shealth,0,-1,75a83646-6d3d-44c2-82d0-1a4383a60d06,1647734400000,
0,0,90,0,2022-04-05 09:11:18.781,2022-04-05 09:11:18.781,-1,0,0,0.0,0.0,c7537671-784b-48c8-8c68-b758d641069e.extra_data.json,3JD7PDJoKB,0,com.sec.android.app.shealth,0,-1,c7537671-784b-48c8-8c68-b758d641069e,1649030400000,
0,0,90,0,2022-04-01 13:57:47.588,2022-04-01 13:57:47.588,-1,0,0,0.0,0.0,edd5224a-5b76-431b-bd53-be9a989c4dfe.extra_data.json,3JD7PDJoKB,0,com.sec.android.app.shealth,0,-1,edd5224a-5b76-431b-bd53-be9a989c4dfe,1648425600000,
0,0,90,0,2022-04-05 09:11:18.768,2022-04-05 09:11:18.768,-1,0,0,0.0,0.0,4e26c58c-fe83-4c60-846b-04ef23c3274e.extra_data.json,3JD7PDJoKB,0,com.sec.android.app.shealth,0,-1,4e26c58c-fe83-4c60-846b-04ef23c3274e,1648857600000,
0,0,90,0,2022-04-05 09:11:18.775,2022-04-05 09:11:18.775,-1,0,0,0.0,0.0,9e1dac02-bb24-4747-9d60-2ae496993dbc.extra_data.json,3JD7PDJoKB,0,com.sec.android.app.shealth,0,-1,9e1dac02-bb24-4747-9d60-2ae496993dbc,1648944000000,
0,0,90,0,2022-04-05 09:11:18.762,2022-04-05 09:11:18.762,-1,0,0,0.0,0.0,8e233461-f1bb-4499-828e-7a1777b6f96a.extra_data.json,3JD7PDJoKB,0,com.sec.android.app.shealth,0,-1,8e233461-f1bb-4499-828e-7a1777b6f96a,1648771200000,
