com.samsung.health.food_intake,6212007,4
start_time,amount,custom,update_time,create_time,meal_type,name,unit,calorie,time_offset,deviceuuid,comment,pkg_name,datauuid,food_info_id
2022-04-09 16:00:00.000,1.0,,2022-04-10 07:56:05.728,2022-04-10 07:56:05.728,100003,Strudel di Mele,120001,175.0,UTC+0200,3JD7PDJoKB,,com.sec.android.app.shealth,d17fcb9c-b0ee-436c-8c05-0ca3f1e1dd88,460fbc53-80db-4b97-a829-3ccc6e8a8cab,
2022-04-06 10:35:34.381,10.0,,2022-04-06 10:39:15.739,2022-04-06 10:39:15.739,100002,Piselli Cotti,120002,10.121212,UTC+0200,3JD7PDJoKB,,com.sec.android.app.shealth,983e78a0-8f6a-4e31-85eb-e41686858548,6d25932d-9b6d-404e-b84f-dbd10da28c1b,
2022-04-09 06:00:00.000,200.0,,2022-04-09 10:25:29.848,2022-04-09 10:25:22.749,100001,Yogurt Bianco Cremoso(Buongiorno Natura),120002,126.0,UTC+0200,3JD7PDJoKB,,com.sec.android.app.shealth,3bff7e94-fb9f-4952-a601-a9e2256dcab6,df129ce4-1197-4c60-8a5c-dac3170fc367,
2022-04-09 13:05:23.738,40.0,,2022-04-09 13:09:06.062,2022-04-09 13:09:06.062,100002,Fagiolini Verdi,120002,12.4,UTC+0200,3JD7PDJoKB,,com.sec.android.app.shealth,c2958527-1318-4a5b-8372-346322fd9e7c,dec97db9-4bfd-4d16-93ca-7bda7b891ebd,
2022-04-10 12:28:49.218,2.0,,2022-04-10 12:32:40.812,2022-04-10 12:32:40.812,100002,Bruschetta al Pomodoro,120001,214.0,UTC+0200,3JD7PDJoKB,,com.sec.android.app.shealth,7d77897f-f5af-4310-8366-9ed772fdb225,18f455a7-dd1d-44d7-ab2a-1fa6a3c840f2,
2022-04-07 10:00:00.000,80.0,,2022-04-07 19:06:45.467,2022-04-07 19:06:45.467,100002,Pasta al Sugo,120002,92.8,UTC+0200,3JD7PDJoKB,,com.sec.android.app.shealth,9f542490-b520-4efd-8501-e1c8b08842c5,bd7b9838-4e95-4ce9-8949-14a3c9e2f935,
2022-04-09 16:00:00.000,50.0,,2022-04-10 07:56:05.728,2022-04-10 07:56:05.728,100003,Peperoni,120002,13.0,UTC+0200,3JD7PDJoKB,,com.sec.android.app.shealth,d89100c2-b0ee-4a9d-983d-97ffcb60c09e,46fde568-b239-4978-9dcc-31d5b3b80291,
2022-04-10 12:28:49.218,3.0,,2022-04-10 12:32:40.812,2022-04-10 12:32:40.812,100002,Arrosto di Maiale,120001,156.0,UTC+0200,3JD7PDJoKB,,com.sec.android.app.shealth,6ba255d1-b709-4e96-abb2-43565aa1c142,85821a1a-64c2-4047-a8d9-4a5d728491cd,
2022-04-10 16:00:00.000,40.0,,2022-04-11 05:59:02.962,2022-04-11 05:59:02.962,100003,Pane di Terni(Interpan),120002,102.0,UTC+0200,3JD7PDJoKB,,com.sec.android.app.shealth,26fab34d-317f-4ec4-b323-85579fda195b,b56636ef-2c6a-4ba3-b6d4-0200eef3565b,
2022-04-08 09:04:06.653,0.8,,2022-04-08 09:06:09.869,2022-04-08 09:06:09.869,100004,Banana,120001,84.0,UTC+0200,3JD7PDJoKB,,com.sec.android.app.shealth,a7efde6a-89a9-493f-a0fa-a466528ee835,fdab0a03-dc62-45c8-a0aa-edef52ca63c0,
2022-04-10 16:00:00.000,20.0,,2022-04-11 05:59:02.962,2022-04-11 05:59:02.962,100003,Diplomatico,120002,65.0,UTC+0200,3JD7PDJoKB,,com.sec.android.app.shealth,d13535cc-cae6-469f-8bf4-f0b5dabb1fa3,609f8514-84b9-4c69-adff-3b24489e6344,
2022-04-11 10:00:00.000,3.0,,2022-04-11 18:49:04.596,2022-04-11 18:49:04.596,100002,Prosciutto Crudo,120001,54.0,UTC+0200,3JD7PDJoKB,,com.sec.android.app.shealth,4829eb33-f664-4ca3-a577-121f366e81e7,7d530bef-e469-414b-b137-d2f1481d3729,
2022-04-11 10:00:00.000,8.0,,2022-04-11 18:49:04.596,2022-04-11 18:49:04.596,100002,Falafel,120001,456.0,UTC+0200,3JD7PDJoKB,,com.sec.android.app.shealth,8fb38760-e0de-4a06-b986-38bbe43f2fd2,d3af660d-01e7-46ac-8304-ffbef9aaa791,
2022-04-08 12:41:06.124,1.0,,2022-04-08 12:43:32.745,2022-04-08 12:43:32.745,100002,Mela,120001,72.0,UTC+0200,3JD7PDJoKB,,com.sec.android.app.shealth,24cf9678-8902-406e-aa9c-a09b570daae4,231fd50f-c92c-4ff5-95d3-59e0563e7e7c,
2022-04-11 18:57:43.781,1.0,,2022-04-11 19:00:20.127,2022-04-11 19:00:20.127,100003,Pizzetta Sfoglia,120001,73.0,UTC+0200,3JD7PDJoKB,,com.sec.android.app.shealth,bd963981-36ee-420a-80b3-7dd1b454b354,c1ad1a8e-fbbc-4ca2-aad6-f3de727fe894,
2022-04-11 18:57:43.781,50.0,,2022-04-11 19:00:20.127,2022-04-11 19:00:20.127,100003,Fettina Impanata,120002,133.5,UTC+0200,3JD7PDJoKB,,com.sec.android.app.shealth,5886e39e-8927-45f2-bab9-9585b237e227,2d86d69b-8956-44ee-8eac-bbb646cc8b7f,
2022-04-09 06:00:00.000,1.0,,2022-04-09 10:25:22.749,2022-04-09 10:25:22.749,100001,Succo Mela Banana(Yoga),120001,61.0,UTC+0200,3JD7PDJoKB,,com.sec.android.app.shealth,1118a468-b934-49bf-938b-28c50007f22e,45e8158a-9d57-479f-a723-841abf0cd535,
2022-04-12 08:00:00.000,2.0,,2022-04-12 10:47:00.758,2022-04-12 10:47:00.758,100004,Biscotto al Burro o Allo Zucchero,120001,86.0,UTC+0200,3JD7PDJoKB,,com.sec.android.app.shealth,ca04b262-765a-4284-8c9b-42bc33e1342a,6c13b183-4824-4b7e-aa2f-990ae362ca8e,
2022-04-12 10:00:00.000,100.0,,2022-04-13 07:10:15.441,2022-04-13 07:10:15.441,100002,Pasta al Sugo,120001,116.0,UTC+0200,3JD7PDJoKB,,com.sec.android.app.shealth,88502b78-8696-4eca-a29f-82958bd0b362,bd7b9838-4e95-4ce9-8949-14a3c9e2f935,
2022-04-09 13:05:23.738,10.0,,2022-04-09 13:09:06.062,2022-04-09 13:09:06.062,100002,Crema Spalmabile al Pistacchio(I Siciliani),120002,58.2,UTC+0200,3JD7PDJoKB,,com.sec.android.app.shealth,a908392c-5aaa-44d6-a951-c55de0271825,9b06579a-b583-480a-8ef0-2aa163724242,
2022-04-12 16:00:00.000,100.0,,2022-04-13 07:13:12.323,2022-04-13 07:13:12.323,100003,Fettina di Vitello,120002,110.0,UTC+0200,3JD7PDJoKB,,com.sec.android.app.shealth,ebbbe45b-99a8-4b0b-b6bc-daa7c1d392d2,53b3e0f7-81cf-4370-86f8-0162af37f35d,
2022-04-14 08:31:59.197,1.0,,2022-04-14 08:33:50.543,2022-04-14 08:33:50.543,100001,Banana,120001,105.0,UTC+0200,3JD7PDJoKB,,com.sec.android.app.shealth,2eaab713-8391-4ee5-bbac-33d3c57bc936,fdab0a03-dc62-45c8-a0aa-edef52ca63c0,
2022-04-12 16:00:00.000,30.0,,2022-04-13 07:13:12.323,2022-04-13 07:13:12.323,100003,Pane di Terni(Interpan),120002,76.5,UTC+0200,3JD7PDJoKB,,com.sec.android.app.shealth,0fe060b8-7b1f-4a6a-a4a1-b86297d79510,b56636ef-2c6a-4ba3-b6d4-0200eef3565b,
2022-04-10 07:56:23.588,1.0,,2022-04-10 07:56:34.404,2022-04-10 07:56:34.404,100001,Caffè Zuccherato,120001,29.0,UTC+0200,3JD7PDJoKB,,com.sec.android.app.shealth,9077c42b-2a60-46ee-8207-d77d2925adb3,bc7edd2f-bc04-4d54-9a7f-e7e72638610f,
2022-04-13 10:00:00.000,26.0,,2022-04-14 08:35:15.011,2022-04-14 08:35:15.011,100002,Pane di Terni(Interpan),120002,66.3,UTC+0200,3JD7PDJoKB,,com.sec.android.app.shealth,9b1daf29-582a-472a-8eaf-71aeea5a86ec,b56636ef-2c6a-4ba3-b6d4-0200eef3565b,
2022-04-14 08:31:59.197,2.0,,2022-04-14 08:33:50.543,2022-04-14 08:33:50.543,100001,Biscotto al Burro o Allo Zucchero,120001,86.0,UTC+0200,3JD7PDJoKB,,com.sec.android.app.shealth,f905af57-6c59-44ba-8d7f-3669ae16dadc,6c13b183-4824-4b7e-aa2f-990ae362ca8e,
