com.samsung.health.floors_climbed,6212007,5
start_time,custom,update_time,create_time,floor,time_offset,deviceuuid,pkg_name,end_time,datauuid
2022-05-27 19:04:18.000,,2022-05-27 19:04:27.674,2022-05-27 19:04:27.674,1.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-27 19:04:25.000,da6570f0-c221-47bf-98f3-445d85f79589,
2022-05-28 15:32:01.000,,2022-05-28 15:32:46.269,2022-05-28 15:32:46.269,1.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-28 15:32:17.000,70e5842c-c97f-43a3-afb9-cd612577120b,
2022-05-29 17:00:10.000,,2022-05-29 17:00:32.241,2022-05-29 17:00:32.241,1.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-29 17:00:18.000,d8d3c47c-b67a-4aca-9b4f-fd2b8e1c93df,
2022-06-03 06:51:03.999,,2022-06-03 06:51:22.415,2022-06-03 06:51:22.415,1.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-06-03 06:51:20.999,26112068-537b-4a7a-88eb-9fbb07d7bca1,
2022-04-09 13:58:00.000,,2022-04-09 14:00:30.117,2022-04-09 14:00:29.894,2.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-04-09 13:58:25.000,6e48ba3d-595f-4f4d-8c4d-c0bf31fde890,
2022-06-05 19:14:38.001,,2022-06-05 19:15:03.431,2022-06-05 19:15:03.431,1.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-06-05 19:14:45.001,6294a589-5561-4b92-8415-714bbf5453ff,
2022-04-13 18:08:14.000,,2022-04-13 18:08:32.957,2022-04-13 18:08:32.957,1.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-04-13 18:08:19.000,59c63e48-789a-4724-9de6-8849d6727f6d,
2022-06-09 10:08:22.000,,2022-06-09 10:13:35.949,2022-06-09 10:13:35.781,2.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-06-09 10:08:34.000,6aee6e12-d5f2-44b7-b699-5c3783e5e82e,
2022-04-17 08:29:56.001,,2022-04-17 08:31:03.357,2022-04-17 08:31:03.357,1.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-04-17 08:30:13.001,2b722cc3-5872-4fb2-8ebb-1076129a81bc,
2022-04-17 08:26:31.000,,2022-04-17 08:28:11.368,2022-04-17 08:28:11.252,1.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-04-17 08:26:40.001,048c0401-a254-428e-b15c-ebcf82c647c5,
2022-06-11 18:52:36.001,,2022-06-11 18:52:57.875,2022-06-11 18:52:57.875,1.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-06-11 18:52:50.001,6d78bc0e-a460-4113-ba29-25932833fbe7,
2022-04-20 07:02:18.000,,2022-04-20 07:03:39.670,2022-04-20 07:03:39.457,2.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-04-20 07:02:47.001,622b88ae-e96a-427b-8f6e-aaeffa8d7573,
2022-04-19 22:24:35.000,,2022-04-19 22:25:23.414,2022-04-19 22:25:23.414,1.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-04-19 22:24:43.000,e847fd62-3b08-45f0-a505-81c7a3cbcf2c,
2022-06-16 19:26:53.000,,2022-06-16 19:27:25.014,2022-06-16 19:27:24.953,2.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-06-16 19:27:03.999,515c9cbb-b779-4c29-97ab-d575285bced6,
2022-04-22 23:22:25.001,,2022-04-22 23:24:09.182,2022-04-22 23:24:09.182,1.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-04-22 23:22:39.001,9e21b66e-8cc5-4118-8735-708e8154bf30,
2022-06-20 19:05:17.000,,2022-06-20 19:09:09.577,2022-06-20 19:09:09.577,1.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-06-20 19:05:24.000,8f552cd0-8d6e-48d6-ac0a-e7541584e8a0,
2022-04-22 18:15:07.000,,2022-04-22 18:15:21.579,2022-04-22 18:15:21.579,1.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-04-22 18:15:15.000,bdf4da7a-b325-4906-b149-a09b13f3e6ae,
2022-04-24 13:05:36.000,,2022-04-24 13:06:24.969,2022-04-24 13:06:24.746,2.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-04-24 13:06:15.999,32e0dbf3-1617-475c-9163-d511761fe773,
2022-06-23 12:27:08.018,,2022-06-23 12:27:42.405,2022-06-23 12:27:42.259,2.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-06-23 12:27:34.001,25350932-3f4c-4b15-a67f-6fe58e5c7261,
2022-04-24 13:01:40.000,,2022-04-24 13:02:24.209,2022-04-24 13:02:24.209,1.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-04-24 13:01:59.000,7ad98daf-7341-47dc-9acf-7d9aff437ffb,
2022-04-25 13:46:57.000,,2022-04-25 14:11:31.984,2022-04-25 14:11:31.506,3.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-04-25 13:47:54.999,7e46f8ac-6e37-4574-8bf7-0ccce686ebc4,
