com.samsung.shealth.calories_burned.details,6212007,2
active_calories_goal,version,extra_data,com.samsung.shealth.calories_burned.tef_calorie,com.samsung.shealth.calories_burned.active_time,com.samsung.shealth.calories_burned.rest_calorie,com.samsung.shealth.calories_burned.update_time,com.samsung.shealth.calories_burned.create_time,com.samsung.shealth.calories_burned.active_calorie,com.samsung.shealth.calories_burned.deviceuuid,com.samsung.shealth.calories_burned.pkg_name,com.samsung.shealth.calories_burned.datauuid,com.samsung.shealth.calories_burned.day_time
,,901d2e48-503a-434d-b609-f8fac744f4f6.extra_data.json,0.0,0,1846.3379,2022-04-05 09:42:23.241,2022-04-05 09:11:18.814,0.0,3JD7PDJoKB,com.sec.android.app.shealth,901d2e48-503a-434d-b609-f8fac744f4f6,1647043200000,
,,d91c208e-a234-428f-b71b-105afcee9a8b.extra_data.json,154.40001,1199210,1815.113,2022-04-26 19:40:54.358,2022-04-05 09:11:18.556,80.96001,3JD7PDJoKB,com.sec.android.app.shealth,d91c208e-a234-428f-b71b-105afcee9a8b,1649116800000,
,,b7849737-c6a7-4577-aee3-d5a352d50149.extra_data.json,0.0,0,1846.3379,2022-04-05 09:42:23.223,2022-04-05 09:11:18.802,0.0,3JD7PDJoKB,com.sec.android.app.shealth,b7849737-c6a7-4577-aee3-d5a352d50149,1646870400000,
,,e6edfa03-ae70-49b5-8910-46c65b363e01.extra_data.json,0.0,0,1846.3379,2022-04-05 09:42:23.232,2022-04-05 09:11:18.808,0.0,3JD7PDJoKB,com.sec.android.app.shealth,e6edfa03-ae70-49b5-8910-46c65b363e01,1646956800000,
,,16572527-0c99-4d65-8aef-5b8ac27492b8.extra_data.json,0.0,0,1846.3379,2022-04-05 09:42:23.287,2022-04-05 09:11:18.843,0.0,3JD7PDJoKB,com.sec.android.app.shealth,16572527-0c99-4d65-8aef-5b8ac27492b8,1647561600000,
,,e5b561ff-9452-46b8-9aee-b13fe2a9a2a2.extra_data.json,0.0,0,1846.3379,2022-04-05 09:42:23.257,2022-04-05 09:11:18.823,0.0,3JD7PDJoKB,com.sec.android.app.shealth,e5b561ff-9452-46b8-9aee-b13fe2a9a2a2,1647216000000,
,,bed602fe-5c3e-4e7b-b0e0-356045341a6a.extra_data.json,0.0,0,1846.3379,2022-04-05 09:42:23.215,2022-04-05 09:11:18.798,0.0,3JD7PDJoKB,com.sec.android.app.shealth,bed602fe-5c3e-4e7b-b0e0-356045341a6a,1646784000000,
,,fa608655-2da6-4822-8384-65dc55c7f38f.extra_data.json,0.0,0,1846.3379,2022-04-05 09:42:23.247,2022-04-05 09:11:18.817,0.0,3JD7PDJoKB,com.sec.android.app.shealth,fa608655-2da6-4822-8384-65dc55c7f38f,1647129600000,
,,1a52bf23-88f1-40e1-b8c9-e07f802e1345.extra_data.json,0.0,0,1846.3379,2022-04-05 09:42:23.280,2022-04-05 09:11:18.837,0.0,3JD7PDJoKB,com.sec.android.app.shealth,1a52bf23-88f1-40e1-b8c9-e07f802e1345,1647475200000,
,,28eaef45-b57f-43c2-97f2-1dabc70cd53e.extra_data.json,0.0,0,1846.3379,2022-04-05 09:42:23.300,2022-04-05 09:11:18.859,0.0,3JD7PDJoKB,com.sec.android.app.shealth,28eaef45-b57f-43c2-97f2-1dabc70cd53e,1647734400000,
,,e897dd45-51c4-4579-a6a8-1480236b7a86.extra_data.json,0.0,0,1846.3379,2022-04-05 09:42:23.273,2022-04-05 09:11:18.832,0.0,3JD7PDJoKB,com.sec.android.app.shealth,e897dd45-51c4-4579-a6a8-1480236b7a86,1647388800000,
,,d4f6fa57-405d-4d03-a666-6de91740a3a8.extra_data.json,0.0,0,1846.3379,2022-04-05 09:42:23.327,2022-04-05 09:11:18.883,0.0,3JD7PDJoKB,com.sec.android.app.shealth,d4f6fa57-405d-4d03-a666-6de91740a3a8,1648080000000,
,,58673d03-3585-4672-abde-4f6ac66af4a1.extra_data.json,0.0,0,1846.3379,2022-04-05 09:42:23.263,2022-04-05 09:11:18.829,0.0,3JD7PDJoKB,com.sec.android.app.shealth,58673d03-3585-4672-abde-4f6ac66af4a1,1647302400000,
,,2c4bcc7b-002a-40ee-aa28-f540255cedb3.extra_data.json,0.0,0,1846.3379,2022-04-05 09:42:23.294,2022-04-05 09:11:18.846,0.0,3JD7PDJoKB,com.sec.android.app.shealth,2c4bcc7b-002a-40ee-aa28-f540255cedb3,1647648000000,
,,4fcce791-d269-4ceb-97ab-b460fa8ce020.extra_data.json,0.0,0,1846.3379,2022-04-05 09:42:23.320,2022-04-05 09:11:18.879,0.0,3JD7PDJoKB,com.sec.android.app.shealth,4fcce791-d269-4ceb-97ab-b460fa8ce020,1647993600000,
,,d32fd116-f483-461c-ac83-ab07d51608c0.extra_data.json,0.0,0,1846.3379,2022-04-05 09:42:23.346,2022-04-05 09:11:18.898,0.0,3JD7PDJoKB,com.sec.android.app.shealth,d32fd116-f483-461c-ac83-ab07d51608c0,1648252800000,
,,fa14ede3-7820-477e-ac16-25edafdfea43.extra_data.json,0.0,0,1846.3379,2022-04-05 09:42:23.314,2022-04-05 09:11:18.870,0.0,3JD7PDJoKB,com.sec.android.app.shealth,fa14ede3-7820-477e-ac16-25edafdfea43,1647907200000,
,,6d6b56d7-3712-4295-a29f-1bd91eaf2738.extra_data.json,0.0,0,1846.3379,2022-04-05 09:42:23.308,2022-04-05 09:11:18.863,0.0,3JD7PDJoKB,com.sec.android.app.shealth,6d6b56d7-3712-4295-a29f-1bd91eaf2738,1647820800000,
,,eef09a2c-7c71-406c-ae91-bcfe84d239c3.extra_data.json,0.0,0,1847.6776,2022-04-23 00:42:35.055,2022-04-05 09:11:18.930,0.0,3JD7PDJoKB,com.sec.android.app.shealth,eef09a2c-7c71-406c-ae91-bcfe84d239c3,1648512000000,
,,45af7d39-1472-407b-86c2-47ac43d39e3d.extra_data.json,0.0,0,1842.0007,2022-04-26 19:40:53.864,2022-04-05 09:11:18.944,0.0,3JD7PDJoKB,com.sec.android.app.shealth,45af7d39-1472-407b-86c2-47ac43d39e3d,1648598400000,
,,8244a0b9-0dc0-4506-9893-93e7f17cb421.extra_data.json,0.0,0,1842.0007,2022-04-26 19:40:54.240,2022-04-05 09:11:18.960,0.0,3JD7PDJoKB,com.sec.android.app.shealth,8244a0b9-0dc0-4506-9893-93e7f17cb421,1648771200000,
