com.samsung.shealth.food_frequent,6212007,1
eveningsnack_count,update_time,create_time,morningsnack_count,dinner_count,breakfast_count,deviceuuid,pkg_name,afternoonsnack_count,datauuid,food_info_id,lunch_count
0.67,2022-04-01 13:57:43.937,2022-04-01 13:57:43.937,0.67,0.67,0.67,3JD7PDJoKB,com.sec.android.app.shealth,0.67,89b926bb-ac63-4e99-9843-abd3f3376eb0,42ebab5a-8128-4462-90ff-93d5cf663b92,0.67,
0.83,2022-04-05 09:11:15.580,2022-04-05 09:11:15.580,0.83,0.83,0.83,3JD7PDJoKB,com.sec.android.app.shealth,0.83,3c06892a-056d-420c-8540-d507c411e7ae,309cfc16-9dde-4879-a98e-7e0a51145274,0.83,
0.63,2022-04-01 13:57:43.937,2022-04-01 13:57:43.937,0.63,0.63,0.63,3JD7PDJoKB,com.sec.android.app.shealth,0.63,a5c4b2d9-7209-42ad-a336-1a3961170f57,d6871572-e5a5-4355-bf17-92540586d3f3,0.63,
0.0,2022-04-06 07:21:15.777,2022-04-05 09:36:30.805,0.0,0.0,2.0,3JD7PDJoKB,com.sec.android.app.shealth,0.0,72cbf0d8-16d1-4123-89d0-0f5cb669ab09,33370599-5338-404b-a99b-76b6025417ec,0.0,
0.99,2022-04-01 13:57:43.936,2022-04-01 13:57:43.936,0.99,0.99,0.99,3JD7PDJoKB,com.sec.android.app.shealth,0.99,adcb7c9e-9ecd-4808-a552-6fd95f1f6ee2,2955ee8d-e4b9-4ca4-b23b-d8f6aeb6c392,0.99,
0.0,2022-04-05 13:06:23.139,2022-04-05 13:06:23.139,0.0,0.0,0.0,3JD7PDJoKB,com.sec.android.app.shealth,0.0,bb6ac005-7e32-433b-aeef-9408e1043c19,aecd7ea4-01e3-4eda-9889-40e825bca5af,1.0,
0.0,2022-04-06 07:21:15.773,2022-04-05 09:36:30.815,0.0,0.0,2.0,3JD7PDJoKB,com.sec.android.app.shealth,0.0,06bf1a72-3667-4c1f-8554-2bf2859b4d6d,6f434493-c358-46a8-b3d2-d776c8f0cf61,0.0,
0.91,2022-04-01 13:57:43.937,2022-04-01 13:57:43.937,0.91,0.91,0.91,3JD7PDJoKB,com.sec.android.app.shealth,0.91,4d55ba46-67e3-45cf-ab4a-a120614dd03f,893c2050-5fb7-41ee-be60-ba276f239414,0.91,
0.0,2022-04-06 10:39:15.749,2022-04-06 10:39:15.749,0.0,0.0,0.0,3JD7PDJoKB,com.sec.android.app.shealth,0.0,b51b7733-d671-480f-95d9-3f49453fefc2,58d1ebf2-8db7-4dba-ad57-7f966bf126d1,1.0,
0.0,2022-04-05 13:06:23.146,2022-04-05 13:06:23.146,0.0,0.0,0.0,3JD7PDJoKB,com.sec.android.app.shealth,0.0,fe7ea451-c949-4646-881b-b03cd4f67c78,f7d375f5-5782-4f2a-92da-0db836031bc3,1.0,
0.0,2022-04-15 18:11:18.826,2022-04-05 09:36:30.826,2.0,0.0,2.0,3JD7PDJoKB,com.sec.android.app.shealth,1.0,93e1e09e-60b2-4121-b42f-e1bc8fd978cd,fdab0a03-dc62-45c8-a0aa-edef52ca63c0,0.0,
0.0,2022-04-06 10:39:15.756,2022-04-06 10:39:15.756,0.0,0.0,0.0,3JD7PDJoKB,com.sec.android.app.shealth,0.0,5034b621-8854-4e35-9276-6bf8c9f23b53,570b9ff9-9793-4697-a146-91c838600ab7,1.0,
1.0,2022-04-06 20:52:40.587,2022-04-06 20:52:40.587,0.0,0.0,0.0,3JD7PDJoKB,com.sec.android.app.shealth,0.0,d6fa45c8-43fc-49c5-a42c-880f2cc006f2,8f94e437-3d00-43fe-ba76-d388082ef7a4,0.0,
0.0,2022-04-11 18:49:04.606,2022-04-05 13:06:23.153,0.0,0.0,0.0,3JD7PDJoKB,com.sec.android.app.shealth,0.0,bee3950c-1652-4d2b-890a-0720136c42b7,7d530bef-e469-414b-b137-d2f1481d3729,3.0,
0.0,2022-04-07 08:15:28.155,2022-04-07 08:15:28.155,0.0,0.0,1.0,3JD7PDJoKB,com.sec.android.app.shealth,0.0,82f9788f-baad-4915-a60c-e2f69f0ae704,00bfbc0f-df09-4c48-8489-680b04fc2343,0.0,
0.0,2022-04-11 18:49:04.612,2022-04-08 06:03:33.809,0.0,2.0,0.0,3JD7PDJoKB,com.sec.android.app.shealth,0.0,a1f6d51a-c9e5-4bc0-b5a0-33b19b1cf663,231fd50f-c92c-4ff5-95d3-59e0563e7e7c,2.0,
0.0,2022-04-13 07:11:02.477,2022-04-08 06:35:54.664,0.0,0.0,3.0,3JD7PDJoKB,com.sec.android.app.shealth,0.0,65a0ef95-2ebd-45c0-ab15-c3c6544934c2,df129ce4-1197-4c60-8a5c-dac3170fc367,0.0,
0.0,2022-04-09 10:23:36.769,2022-04-09 10:23:36.769,0.0,1.0,0.0,3JD7PDJoKB,com.sec.android.app.shealth,0.0,753dc117-eabe-4746-8549-9fce73d127c5,2bd06491-645b-41ea-8dde-9d0080c3a397,0.0,
0.83,2022-04-01 13:57:43.937,2022-04-01 13:57:43.937,0.83,0.83,0.83,3JD7PDJoKB,com.sec.android.app.shealth,0.83,43e403e5-5cce-4f2f-a43e-56c92d8126be,d3ac7924-17a8-4ee8-9a94-7a2ac3e1e7b2,0.83,
0.0,2022-04-09 10:23:36.774,2022-04-09 10:23:36.774,0.0,1.0,0.0,3JD7PDJoKB,com.sec.android.app.shealth,0.0,2212cb6e-113a-4611-80ac-a98a51ea596b,2aecda6b-5f43-4ab0-a661-a9703ff1d62f,0.0,
0.0,2022-04-09 13:09:06.078,2022-04-09 13:09:06.078,0.0,0.0,0.0,3JD7PDJoKB,com.sec.android.app.shealth,0.0,b6afc5e6-ed92-43a0-81ac-7df9a9c1958e,dec97db9-4bfd-4d16-93ca-7bda7b891ebd,1.0,
0.87,2022-04-01 13:57:43.937,2022-04-01 13:57:43.937,0.87,0.87,0.87,3JD7PDJoKB,com.sec.android.app.shealth,0.87,f129f85a-3896-47fd-b2dd-d2ba43a28356,9bd174e8-3894-4225-ad8a-3d05527a0b44,0.87,
0.0,2022-04-14 08:35:15.022,2022-04-09 13:09:06.081,0.0,2.0,0.0,3JD7PDJoKB,com.sec.android.app.shealth,0.0,3a303ea3-5c19-4a90-aab6-68fd98ea0f2d,b56636ef-2c6a-4ba3-b6d4-0200eef3565b,2.0,
0.0,2022-04-11 05:59:02.975,2022-04-10 07:56:05.744,0.0,2.0,0.0,3JD7PDJoKB,com.sec.android.app.shealth,0.0,df99eb1a-0ff5-435f-9ade-86cea5b09645,46fde568-b239-4978-9dcc-31d5b3b80291,0.0,
0.0,2022-04-05 10:51:35.372,2022-04-05 10:51:35.372,1.0,0.0,0.0,3JD7PDJoKB,com.sec.android.app.shealth,0.0,9de4fbc0-573b-46a9-8fda-58c1ecb11d38,e2c1077f-1cdf-4db6-9a4e-12919c36c371,0.0,
0.0,2022-04-10 07:56:05.748,2022-04-10 07:56:05.748,0.0,1.0,0.0,3JD7PDJoKB,com.sec.android.app.shealth,0.0,b360cb38-7420-4d47-8374-736c06df172b,460fbc53-80db-4b97-a829-3ccc6e8a8cab,0.0,
0.0,2022-04-10 12:32:40.826,2022-04-10 12:32:40.826,0.0,0.0,0.0,3JD7PDJoKB,com.sec.android.app.shealth,0.0,21e12a32-7246-42e8-a5e7-e39994d9cb2b,6daf01cd-cfe4-4d6d-b760-e00276dbfdea,1.0,
0.0,2022-04-15 12:50:45.993,2022-04-05 20:55:26.654,0.0,1.0,0.0,3JD7PDJoKB,com.sec.android.app.shealth,0.0,f9a85ce6-a2e4-4ffb-8734-5f91fbe8c5d9,74bc5197-e7e9-4b0e-8e27-bca46649a6df,1.0,
0.0,2022-04-11 05:59:02.967,2022-04-11 05:59:02.967,0.0,1.0,0.0,3JD7PDJoKB,com.sec.android.app.shealth,0.0,1bce45ed-d14b-4b37-8efc-631513c4910f,7cafca4c-15c7-4a66-99d9-1ebdab9d8b63,0.0,
0.0,2022-04-11 19:00:20.131,2022-04-11 19:00:20.131,0.0,1.0,0.0,3JD7PDJoKB,com.sec.android.app.shealth,0.0,38c79808-d4aa-488d-9245-bc5e26d229a0,5116b3be-1d03-42c5-93b4-70a4490b2885,0.0,
0.0,2022-04-06 10:41:37.465,2022-04-06 10:41:37.465,0.0,0.0,0.0,3JD7PDJoKB,com.sec.android.app.shealth,0.0,4c9b25e4-a8bf-4677-9cf7-2eb305959e95,a8f0997f-8c4f-4f0c-ba83-73ec3fd60c4c,1.0,
